timestamp,category,player_a_espn_id,player_b_espn_id,choice,anonymous_mode
2026-07-06T04:10:45Z,season,4429615,4360797,a,False
2026-07-06T04:10:50Z,season,4429615,3127306,a,False
2026-07-06T04:10:54Z,season,4429615,3728262,a,False
2026-07-06T04:10:57Z,season,4429615,3919510,a,False
2026-07-06T04:11:00Z,season,4429615,4432708,a,False
2026-07-06T04:11:05Z,season,4429615,3916433,a,False
2026-07-06T04:11:09Z,season,4429615,3051738,a,False
2026-07-06T04:11:15Z,season,4429615,3929785,a,False
2026-07-06T04:11:20Z,season,4429615,4603186,a,False
2026-07-06T04:11:22Z,season,4429615,4430878,b,False
2026-07-06T04:11:26Z,season,4430878,4430834,a,False
2026-07-06T04:11:28Z,season,4430878,4685415,a,False
2026-07-06T04:11:30Z,season,4430878,4683062,a,False
2026-07-06T04:11:35Z,season,4430878,4382466,a,False
2026-07-06T04:11:39Z,season,4430878,4685472,a,False
2026-07-06T04:11:46Z,season,4430878,3121427,a,False
2026-07-06T04:11:48Z,season,4430878,3051738,a,False
2026-07-06T04:11:50Z,season,4430878,3917914,a,False
2026-07-06T04:11:52Z,season,4430878,3127306,a,False
2026-07-06T04:11:56Z,season,4430878,3886809,a,False
2026-07-06T04:12:00Z,season,4430878,4241424,a,False
2026-07-06T04:12:03Z,season,4430878,4883647,a,False
2026-07-06T04:12:04Z,season,4430878,4374187,a,False
2026-07-06T04:12:06Z,season,4430878,4569603,a,False
2026-07-06T04:12:25Z,season,4426339,4426348,b,False
2026-07-06T04:12:33Z,season,4426348,3139477,b,False
2026-07-06T04:12:35Z,season,3139477,4241464,a,False
2026-07-06T04:12:36Z,season,3139477,4426348,a,False
2026-07-06T04:12:37Z,season,3139477,4426339,a,False
2026-07-06T04:12:39Z,season,3139477,4685720,a,False
2026-07-06T04:12:40Z,season,3139477,4426348,a,False
2026-07-06T04:12:41Z,season,3139477,4683423,a,False
2026-07-06T04:12:46Z,season,3139477,3116407,a,False
2026-07-06T04:12:49Z,season,3139477,4432762,a,False
2026-07-06T04:12:51Z,season,3139477,4360423,a,False
2026-07-06T04:12:53Z,season,3139477,4427238,a,False
2026-07-06T04:12:55Z,season,3139477,4688380,a,False
2026-07-06T04:12:57Z,season,3139477,3918298,b,False
2026-07-06T04:13:16Z,season,3918298,14881,a,False
2026-07-06T04:13:19Z,season,3918298,4432762,a,False
2026-07-06T04:13:22Z,season,3918298,3039707,a,False
2026-07-06T04:13:25Z,season,3918298,4036378,a,False
2026-07-06T04:13:26Z,season,3918298,3039707,a,False
2026-07-06T04:13:28Z,season,3918298,4426338,a,False
2026-07-06T04:13:30Z,season,3918298,4431611,a,False
2026-07-06T04:13:32Z,season,3918298,2578570,a,False
2026-07-06T04:13:36Z,season,3918298,3886812,a,False
2026-07-06T04:13:40Z,season,3918298,4432577,a,False
2026-07-06T04:13:42Z,season,3918298,4683423,a,False
2026-07-06T04:13:44Z,season,3918298,15864,a,False
2026-07-06T04:13:45Z,season,3918298,4360310,a,False
2026-07-06T04:13:46Z,season,3918298,4241464,a,False
2026-07-06T04:13:53Z,season,3918298,15864,a,False
2026-07-06T04:13:55Z,season,3918298,4889929,a,False
2026-07-06T04:13:56Z,season,3918298,4683423,a,False
2026-07-06T04:14:15Z,season,3918298,4242512,a,False
2026-07-06T04:14:19Z,season,3918298,2573079,a,False
2026-07-06T04:14:22Z,season,3918298,3039707,a,False
2026-07-06T04:14:24Z,season,3918298,4360423,a,False
2026-07-06T04:14:25Z,season,3918298,4685720,a,False
2026-07-06T04:14:26Z,season,3918298,4426339,a,False
2026-07-06T04:14:29Z,season,3918298,11252,a,False
2026-07-06T04:14:31Z,season,3918298,3039707,a,False
2026-07-06T04:14:33Z,season,3918298,4360689,a,False
2026-07-06T04:14:38Z,season,3918298,4432762,a,False
2026-07-06T04:14:39Z,season,3918298,3116407,a,False
2026-07-06T04:14:40Z,season,3918298,4360310,a,False
2026-07-06T04:14:42Z,season,3918298,4360689,a,False
2026-07-06T04:14:58Z,season,4360967,4259147,b,False
2026-07-06T04:15:04Z,season,4259147,4367209,a,False
2026-07-06T04:15:07Z,season,4259147,3046439,b,False
2026-07-06T04:15:10Z,season,3046439,4431588,a,False
2026-07-06T04:15:13Z,season,3046439,3127310,a,False
2026-07-06T04:15:15Z,season,3046439,4361100,a,False
2026-07-06T04:15:19Z,season,3046439,4239944,a,False
2026-07-06T04:15:22Z,season,3046439,4361088,a,False
2026-07-06T04:15:25Z,season,3046439,3052897,a,False
2026-07-06T04:15:30Z,season,3046439,4430539,b,False
2026-07-06T04:15:44Z,season,4430539,4576297,b,False
2026-07-06T04:15:54Z,season,4576297,4361411,a,False
2026-07-06T04:16:00Z,season,4576297,4040612,a,False
2026-07-06T04:16:04Z,season,4576297,4240472,a,False
2026-07-06T04:16:08Z,season,4576297,3052096,a,False
2026-07-06T04:16:15Z,season,4576297,4241961,a,False
2026-07-06T04:16:18Z,season,4576297,4039160,a,False
2026-07-06T04:16:20Z,season,4576297,4430539,a,False
2026-07-06T04:16:23Z,season,4576297,3121023,a,False
2026-07-06T04:16:28Z,season,4576297,2468609,a,False
2026-07-06T04:16:47Z,season,4576297,4360635,a,False
2026-07-06T04:16:52Z,season,4576297,4241961,a,False
2026-07-06T04:16:55Z,season,4576297,15835,a,False
2026-07-06T04:16:59Z,season,4576297,4383440,a,False
2026-07-06T04:17:01Z,season,4576297,4367209,a,False
2026-07-06T04:17:03Z,season,4576297,3043275,a,False
2026-07-06T04:17:07Z,season,4576297,5083076,b,False
2026-07-06T04:17:12Z,season,5083076,4048228,a,False
2026-07-06T04:17:26Z,season,5083076,4241263,a,False
2026-07-06T04:17:28Z,season,5083076,3052897,a,False
2026-07-06T04:17:31Z,season,5083076,4608362,a,False
2026-07-06T04:17:32Z,season,5083076,4241961,a,False
2026-07-06T04:17:35Z,season,5083076,15847,a,False
2026-07-06T04:17:37Z,season,5083076,2576925,a,False
2026-07-06T04:17:40Z,season,5083076,4686728,a,False
2026-07-06T04:17:42Z,season,5083076,15847,a,False
2026-07-06T04:17:43Z,season,5083076,4373030,a,False
2026-07-06T04:17:47Z,season,5083076,4243331,a,False
2026-07-06T04:17:48Z,season,5083076,4240472,a,False
2026-07-06T04:17:49Z,season,5083076,4241263,a,False
2026-07-06T04:17:53Z,season,5083076,3040151,b,False
2026-07-06T04:17:57Z,season,3040151,3054212,a,False
2026-07-06T04:17:58Z,season,3040151,5083076,a,False
2026-07-06T04:18:00Z,season,3040151,4385690,a,False
2026-07-06T04:18:14Z,season,3040151,4361050,a,False
2026-07-06T04:18:16Z,season,3040151,4361088,a,False
2026-07-06T04:18:20Z,season,3040151,4241961,a,False
2026-07-06T04:18:24Z,season,3040151,4678006,a,False
2026-07-06T04:18:25Z,season,3040151,4367209,a,False
2026-07-06T04:18:26Z,season,3040151,3043275,a,False
2026-07-06T04:18:27Z,season,3040151,4242558,a,False
2026-07-06T04:18:28Z,season,3040151,4360967,a,False
2026-07-06T04:18:33Z,season,3040151,3921690,a,False
2026-07-06T04:18:35Z,season,3040151,4426844,a,False
